id,host,x,y,height,length,width,ln.size,occupied,total,ln.total,no_grn,no_str,no_dark,no_mal,no_cam,mal,con,conA,conC,pcon_mal,qimm,qimmA,qimmC,qimm_mal,qimmA_mal,qimmC_mal
A90,A,29.5,36.75,140,110,120,6.266701967,0,0,0,0,0,0,0,0,,0.271,0.014,0.257,0.948339483,0.432,0.373,0.436,0.432,0.373,0.436
A91,A,5.5,43,50,60,70,5.322219295,1,1,0.301029996,0,1,0,0,1,0,0.312,0.225,0.087,0.278846154,0.174,0.046,0.506,0.174,0.046,0.506
A92,A,6.5,43.75,70,100,100,5.84509804,1,8,0.954242509,0,8,0,0,8,0,0.178,0.079,0.099,0.556179775,0.365,0.16,0.528,0.365,0.16,0.528
A93,A,8,40.25,60,120,90,5.811575006,1,3,0.602059991,0,3,0,0,3,0,0.518,0.182,0.336,0.648648649,0.38,0.201,0.477,0.38,0.201,0.477
A94,A,7.5,42,110,80,160,6.148602655,0,0,0,0,0,0,0,0,,0.438,0.247,0.191,0.436073059,0.268,0.081,0.508,0.268,0.081,0.508
A95,A,10,40.5,110,150,100,6.217483944,1,3,0.602059991,1,2,0,1,2,0.333333333,0.604,0.129,0.476,0.78807947,0.44,0.105,0.53,0.44,0.105,0.53
A96,A,6.5,49,160,180,260,6.874365836,1,3,0.602059991,2,1,0,2,1,0.666666667,0.191,0.057,0.133,0.696335079,0.413,0.011,0.585,0.413,0.011,0.585
A97,A,8.25,50.5,180,80,60,5.936513742,1,1,0.301029996,0,1,0,0,1,0,0.287,0.056,0.231,0.804878049,0.552,0.455,0.575,0.552,0.455,0.575
A98,A,4,46.75,60,60,60,5.334453751,0,0,0,0,0,0,0,0,,0.15,0.102,0.048,0.32,0.291,0.156,0.576,0.291,0.156,0.576
A99,A,4.75,48,100,100,140,6.146128036,1,1,0.301029996,0,1,0,0,1,0,0.165,0.089,0.076,0.460606061,0.451,0.333,0.59,0.451,0.333,0.59
A100,A,3.25,50,70,80,60,5.526339277,0,0,0,0,0,0,0,0,,0.165,0.053,0.111,0.672727273,0.505,0.277,0.614,0.505,0.277,0.614
